time,temperature_2m,relative_humidity_2m,wind_speed_10m,surface_pressure,cloud_cover,precipitation,us_aqi,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,month,hour
2025-08-01 00:00:00,31.4,74,5.8,982.1,13,0.0,152,77.3,122.9,378.0,24.8,5.4,49.0,86.0,8,0
2025-08-01 01:00:00,30.9,77,6.7,981.8,84,0.0,153,75.0,120.1,342.0,22.9,5.1,46.0,90.0,8,1
2025-08-01 02:00:00,30.6,77,6.1,981.4,100,0.0,153,73.8,122.0,315.0,21.9,4.9,42.0,93.0,8,2
2025-08-01 03:00:00,30.4,76,5.5,981.1,100,0.0,154,74.0,129.5,293.0,22.8,4.8,37.0,92.0,8,3
2025-08-01 04:00:00,30.1,74,6.1,981.3,100,0.0,154,70.1,123.4,278.0,24.5,4.8,32.0,90.0,8,4
2025-08-01 05:00:00,30.0,73,2.9,981.8,100,0.0,155,46.9,103.8,291.0,9.0,4.4,57.0,109.0,8,5
2025-08-01 06:00:00,28.5,81,7.4,981.3,100,0.0,154,46.8,108.7,359.0,9.5,4.7,56.0,117.0,8,6
2025-08-01 07:00:00,29.1,77,4.2,982.2,100,0.0,154,49.2,107.6,455.0,10.1,5.0,55.0,128.0,8,7
2025-08-01 08:00:00,28.0,81,6.7,983.1,100,2.0,154,47.5,117.1,512.0,10.0,5.4,60.0,134.0,8,8
2025-08-01 09:00:00,28.2,84,5.9,983.4,100,0.2,154,48.1,119.2,492.0,8.4,5.8,76.0,131.0,8,9
2025-08-01 10:00:00,30.6,74,2.1,983.5,100,0.0,154,49.0,116.2,434.0,6.1,6.2,99.0,124.0,8,10
2025-08-01 11:00:00,31.2,72,1.7,983.2,100,0.0,154,49.0,111.5,390.0,4.4,6.5,115.0,117.0,8,11
2025-08-01 12:00:00,32.0,70,1.0,983.0,100,0.0,154,47.7,107.1,383.0,3.7,6.7,121.0,113.0,8,12
2025-08-01 13:00:00,33.1,66,1.1,982.5,100,0.0,153,46.6,104.1,391.0,3.5,6.9,121.0,110.0,8,13
2025-08-01 14:00:00,33.4,65,2.8,981.8,100,0.0,153,44.9,100.4,394.0,3.8,7.1,119.0,105.0,8,14
2025-08-01 15:00:00,33.5,65,3.3,981.6,100,0.0,153,43.4,95.5,381.0,4.5,7.3,115.0,98.0,8,15
2025-08-01 16:00:00,33.8,63,2.9,981.0,100,0.0,153,42.5,89.2,364.0,5.6,7.4,108.0,90.0,8,16
2025-08-01 17:00:00,33.8,64,3.6,980.9,97,0.0,153,42.8,69.6,362.0,9.5,9.6,91.0,51.0,8,17
2025-08-01 18:00:00,32.5,66,4.7,981.8,100,0.0,153,40.2,66.8,382.0,10.4,9.2,81.0,45.0,8,18
2025-08-01 19:00:00,32.6,69,7.7,981.9,100,0.0,152,38.3,59.3,417.0,11.7,8.6,66.0,37.0,8,19
2025-08-01 20:00:00,31.9,75,11.6,982.2,99,0.0,152,36.7,54.7,460.0,12.5,7.8,55.0,35.0,8,20
2025-08-01 21:00:00,31.5,74,12.5,982.8,69,0.0,150,35.0,53.0,521.0,12.3,6.5,49.0,43.0,8,21
2025-08-01 22:00:00,31.1,73,10.2,983.0,10,0.0,146,35.6,59.4,590.0,11.7,4.9,46.0,56.0,8,22
2025-08-01 23:00:00,30.8,70,10.8,982.7,2,0.0,141,36.9,75.7,628.0,11.1,3.7,44.0,74.0,8,23
2025-08-02 00:00:00,30.6,70,9.2,982.5,4,0.0,136,38.8,91.7,610.0,10.8,3.0,41.0,100.0,8,0
2025-08-02 01:00:00,30.3,71,9.4,981.8,0,0.0,132,41.4,107.6,561.0,10.7,2.7,39.0,130.0,8,1
2025-08-02 02:00:00,29.9,73,9.3,981.3,0,0.0,128,44.5,122.5,520.0,10.7,2.5,37.0,150.0,8,2
2025-08-02 03:00:00,29.5,76,9.1,981.2,23,0.0,125,47.1,131.3,504.0,11.1,2.4,34.0,155.0,8,3
2025-08-02 04:00:00,29.2,77,8.5,981.5,13,0.0,123,48.5,129.0,494.0,11.6,2.4,32.0,149.0,8,4
2025-08-02 05:00:00,28.9,79,9.1,982.0,15,0.0,120,32.8,71.2,477.0,8.0,5.8,55.0,73.0,8,5
2025-08-02 06:00:00,29.9,78,9.2,981.7,24,0.0,119,32.5,66.1,442.0,8.0,6.3,60.0,72.0,8,6
2025-08-02 07:00:00,30.6,74,8.4,982.4,0,0.0,117,34.3,68.9,400.0,7.9,6.9,67.0,71.0,8,7
2025-08-02 08:00:00,31.9,67,9.3,983.1,0,0.0,116,35.4,76.4,360.0,7.4,7.4,76.0,77.0,8,8
2025-08-02 09:00:00,33.5,60,12.6,983.1,0,0.0,115,36.3,85.9,325.0,5.9,7.7,90.0,93.0,8,9
2025-08-02 10:00:00,34.8,55,12.4,983.4,0,0.0,113,38.1,97.6,293.0,3.9,7.9,107.0,115.0,8,10
2025-08-02 11:00:00,36.1,51,11.9,983.4,0,0.0,112,40.2,112.9,270.0,2.4,7.8,119.0,140.0,8,11
2025-08-02 12:00:00,37.1,48,11.2,982.8,3,0.0,111,41.7,127.6,260.0,1.7,7.2,122.0,171.0,8,12
2025-08-02 13:00:00,37.8,46,10.7,982.1,7,0.0,111,43.3,143.4,259.0,1.5,6.3,120.0,206.0,8,13
2025-08-02 14:00:00,38.3,44,11.1,981.4,14,0.0,110,46.6,164.4,259.0,1.7,5.5,116.0,231.0,8,14
2025-08-02 15:00:00,38.6,43,10.9,980.7,12,0.0,111,47.5,173.7,257.0,1.8,5.0,113.0,243.0,8,15
2025-08-02 16:00:00,38.6,43,11.4,980.1,18,0.0,111,47.4,175.6,257.0,2.2,4.6,109.0,247.0,8,16
2025-08-02 17:00:00,38.2,44,11.0,980.0,21,0.0,111,43.2,155.5,259.0,3.8,4.4,99.0,221.0,8,17
2025-08-02 18:00:00,37.1,45,12.6,981.3,6,0.0,111,48.0,138.8,266.0,9.3,4.4,87.0,189.0,8,18
2025-08-02 19:00:00,35.8,49,12.9,981.7,9,0.0,112,55.1,124.3,277.0,17.1,4.4,69.0,146.0,8,19
2025-08-02 20:00:00,34.8,54,12.2,981.9,4,0.0,114,61.7,121.1,282.0,24.3,4.6,53.0,114.0,8,20
2025-08-02 21:00:00,34.1,57,10.0,983.1,0,0.0,117,69.6,127.1,280.0,30.4,5.2,40.0,106.0,8,21
2025-08-02 22:00:00,33.5,58,11.0,983.1,0,0.0,120,80.8,139.7,274.0,36.0,6.0,29.0,109.0,8,22
2025-08-02 23:00:00,33.1,58,10.8,983.0,1,0.0,125,90.8,148.1,264.0,39.8,6.5,21.0,110.0,8,23
2025-08-03 00:00:00,32.9,58,11.7,982.9,0,0.0,131,94.5,149.0,245.0,41.6,6.4,16.0,106.0,8,0
2025-08-03 01:00:00,32.2,58,11.7,982.6,0,0.0,136,93.4,143.9,222.0,41.6,5.9,13.0,101.0,8,1
2025-08-03 02:00:00,31.7,58,11.0,982.4,0,0.0,142,86.6,134.6,209.0,39.0,5.5,14.0,91.0,8,2
2025-08-03 03:00:00,31.2,59,10.4,982.2,0,0.0,146,75.9,122.5,213.0,32.2,5.2,20.0,71.0,8,3
2025-08-03 04:00:00,30.7,60,11.0,982.6,0,0.0,149,60.3,92.9,226.0,22.9,4.9,30.0,45.0,8,4
2025-08-03 05:00:00,30.1,63,11.1,983.1,0,0.0,150,27.4,48.9,243.0,7.3,6.3,62.0,42.0,8,5
2025-08-03 06:00:00,31.1,64,13.2,982.9,18,0.0,150,26.1,42.5,266.0,7.2,6.0,65.0,38.0,8,6
2025-08-03 07:00:00,31.5,63,12.8,983.3,5,0.0,149,27.2,42.8,293.0,7.0,5.6,70.0,33.0,8,7
2025-08-03 08:00:00,32.5,60,15.5,983.7,0,0.0,148,26.9,46.3,306.0,6.4,5.5,77.0,37.0,8,8
2025-08-03 09:00:00,33.8,57,14.8,984.1,0,0.0,148,27.3,59.4,294.0,5.1,6.3,89.0,58.0,8,9
